sku	product-name	asin	field-name	alert-type	current-value	last-updated	alert-name	status	explanation
AN-4135-15	"Arnette Heist AN4135-15 Polarized Sport Sunglasses,Matte Black,55 mm"	B005VFY5B4	Sport Type	Missing		7/18/13 9:50:27 PM PDT	Quality	Inactive	Sport_type is important for helping customers find your product.
AN-4143-12	Arnette Fire Drill Matte Black / Blue Mirror Lens Sunglasses	B005VFY5IC	Sport Type	Missing		7/18/13 8:55:05 PM PDT	Quality	Inactive	Sport_type is important for helping customers find your product.
AN-4143-20	"Arnette Fire Drill Sunglasses Fuzzy Translucent Orange/Red Mirror, One Size"	B00A4J28ES	Key Product Features	Missing		6/10/13 2:11:17 AM PDT	Quality	Active	Product features highlight important facts about the product and are displayed on the product's detail page.
AN-4143-20	"Arnette Fire Drill Sunglasses Fuzzy Translucent Orange/Red Mirror, One Size"	B00A4J28ES	Product Description	Missing		6/10/13 2:11:17 AM PDT	Quality	Active	Product_description is important for helping customers find your product.
AP-252-BLK	"Amphipod ArmPod, Color:Black, OS"	B003NU7CVO	Image	Image Too Small		5/30/13 11:30:14 PM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
AP-440-REF	"Amphipod Reflective Xinglet Vest, Color:NOT APPLICABLE, OS"	B004DKSJAG	Image	Image Too Small		6/1/13 1:09:14 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
AP-8210-BLK	"Amphipod RunLite Airstretch 2+, Color:Black, OS"	B004Q1B3O6	Category (item-type)	Missing		6/21/13 2:17:30 PM PDT	Quality	Inactive	Item_type_keyword is important for helping customers find your product.
AP-8210-BLK	"Amphipod RunLite Airstretch 2+, Color:Black, OS"	B004Q1B3O6	Image	Image Too Small		6/1/13 12:53:59 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
AR-1450-BLK-L	Arctix 1450 Classic Bib Women's Snow Pants - Black-L	B004A6G3ME	Sport Type	Missing		7/18/13 9:05:18 PM PDT	Quality	Inactive	Sport_type is important for helping customers find your product.
AR-1450-BLK-M	Arctix 1450 Classic Bib Women's Snow Pants - Black-M	B004C6QPHU	Sport Type	Missing		7/18/13 9:05:11 PM PDT	Quality	Inactive	Sport_type is important for helping customers find your product.
AR-1540-BLK-M	Arctix Ski Cargo Pant Kids Medium	B003DBLLL0	Image	Image Too Small		5/31/13 7:48:21 PM PDT	Quality	Active	To fix the alert please upload an image with dimensions greater than 1000 pixels.
AR-1540-BLK-M	Arctix Ski Cargo Pant Kids Medium	B003DBLLL0	Sport Type	Missing		7/18/13 9:40:27 PM PDT	Quality	Active	Sport_type is important for helping customers find your product.
BK-95132R-42	BIRKENSTOCK Men's Arizona Soft Footbed (Black Suede 42.0 M)	B000L7RY9W	Bullet Point	Missing		8/23/13 4:22:34 PM PDT	Quality	Inactive	Product features highlight important facts about the product and are displayed on the product's detail page.
BK-95132R-42	BIRKENSTOCK Men's Arizona Soft Footbed (Black Suede 42.0 M)	B000L7RY9W	Product Description	Missing		8/23/13 4:22:34 PM PDT	Quality	Inactive	Product_description is important for helping customers find your product.
CB-AA4037-551-2T	"Columbia Ripple Maker Board Skort - Toddler Girls' Purple Arrow Pixel Wave Print, 2T"	B0074HCSD4	Image	Image Too Small		6/1/13 12:18:53 AM PDT	Quality	Inactive	To fix the alert please upload an image with dimensions greater than 1000 pixels.
